t: 0.378148
nCells: 20x20, dx: 0.1, dy: 0.1

u (21x22): 
         |       -1        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       20|        0     1.97     1.95     1.95     1.94     1.94     1.94     1.94     1.94     1.94     1.94     1.94     1.94     1.94     1.94     1.94     1.94     1.95     1.95     1.97        0
       19|        0   0.0343   0.0489   0.0557   0.0593   0.0614   0.0628   0.0637   0.0642   0.0645   0.0646   0.0646   0.0643   0.0638   0.0631   0.0618   0.0598   0.0564   0.0498   0.0352        0
       18|        0  -0.0134  -0.0137  -0.0117 -0.00983 -0.00842 -0.00742 -0.00673 -0.00629 -0.00603 -0.00595 -0.00601 -0.00625 -0.00667 -0.00734 -0.00831 -0.00969  -0.0115  -0.0135  -0.0132        0
       17|        0 -0.00673 -0.00926 -0.00955 -0.00906 -0.00842 -0.00785 -0.00741  -0.0071 -0.00692 -0.00686 -0.00692 -0.00711 -0.00743 -0.00789 -0.00849  -0.0092  -0.0098  -0.0097 -0.00732        0
       16|        0 -0.00376 -0.00606 -0.00704 -0.00727 -0.00716 -0.00695 -0.00673 -0.00656 -0.00645 -0.00642 -0.00646 -0.00658 -0.00676   -0.007 -0.00725  -0.0074 -0.00724 -0.00633 -0.00401        0
       15|        0 -0.00238 -0.00418 -0.00526 -0.00579   -0.006 -0.00603 -0.00599 -0.00594  -0.0059 -0.00589 -0.00591 -0.00596 -0.00603 -0.00608 -0.00607  -0.0059  -0.0054 -0.00434 -0.00249        0
       14|        0 -0.00164 -0.00304 -0.00403 -0.00465 -0.00501 -0.00519 -0.00527  -0.0053 -0.00531 -0.00532 -0.00532 -0.00532  -0.0053 -0.00523 -0.00507 -0.00473 -0.00412 -0.00313  -0.0017        0
       13|        0 -0.00121  -0.0023 -0.00316 -0.00377 -0.00418 -0.00444  -0.0046 -0.00469 -0.00474 -0.00475 -0.00475 -0.00471 -0.00463 -0.00448 -0.00423 -0.00383 -0.00322 -0.00236 -0.00124        0
       12|        0-0.000929  -0.0018 -0.00253  -0.0031 -0.00351  -0.0038   -0.004 -0.00412 -0.00419 -0.00421  -0.0042 -0.00414 -0.00402 -0.00384 -0.00355 -0.00314 -0.00257 -0.00184-0.000949        0
       11|        0-0.000738 -0.00145 -0.00207 -0.00257 -0.00297 -0.00326 -0.00347 -0.00361 -0.00368 -0.00371 -0.00369 -0.00362 -0.00349 -0.00328   -0.003  -0.0026  -0.0021 -0.00147-0.000751        0
       10|        0-0.000602 -0.00119 -0.00172 -0.00216 -0.00252  -0.0028 -0.00301 -0.00315 -0.00323 -0.00326 -0.00324 -0.00316 -0.00302 -0.00282 -0.00254 -0.00218 -0.00174 -0.00121 -0.00061        0
        9|        0  -0.0005-0.000993 -0.00144 -0.00183 -0.00216 -0.00242 -0.00261 -0.00275 -0.00283 -0.00286 -0.00284 -0.00276 -0.00263 -0.00243 -0.00217 -0.00185 -0.00146   -0.001-0.000505        0
