t: 1.48947
nCells: 20x20, dx: 0.1, dy: 0.1

u (21x22): 
         |       -1        0        1        2        3        4        5        6        7        8        9       10       11       12       13       14       15       16       17       18       19
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
       20|        0     1.91     1.87     1.84     1.82     1.81      1.8     1.79     1.79     1.79     1.79     1.78     1.78     1.79     1.79     1.79     1.79      1.8     1.83     1.88        0
       19|        0   0.0857    0.135    0.164    0.182    0.195    0.203    0.208    0.212    0.215    0.217    0.218    0.218    0.218    0.217    0.214     0.21    0.199    0.176    0.119        0
       18|        0  -0.0317  -0.0334  -0.0287  -0.0233  -0.0188  -0.0153  -0.0126  -0.0107 -0.00942 -0.00874 -0.00857 -0.00884 -0.00959   -0.011  -0.0131  -0.0159  -0.0193  -0.0221  -0.0203        0
       17|        0  -0.0152  -0.0245  -0.0279  -0.0283  -0.0275  -0.0263  -0.0253  -0.0245   -0.024  -0.0238  -0.0241  -0.0248  -0.0261   -0.028  -0.0308  -0.0346  -0.0392  -0.0419  -0.0341        0
       16|        0 -0.00919  -0.0166  -0.0208  -0.0228  -0.0235  -0.0235  -0.0232   -0.023  -0.0229  -0.0229  -0.0233  -0.0239  -0.0249  -0.0263   -0.028    -0.03  -0.0313  -0.0301  -0.0214        0
       15|        0 -0.00615  -0.0119  -0.0158  -0.0182  -0.0196  -0.0203  -0.0206  -0.0207  -0.0209   -0.021  -0.0214  -0.0218  -0.0224  -0.0231  -0.0237   -0.024  -0.0231  -0.0198  -0.0121        0
       14|        0 -0.00443 -0.00887  -0.0123  -0.0148  -0.0164  -0.0174  -0.0181  -0.0185  -0.0188   -0.019  -0.0193  -0.0195  -0.0198  -0.0199  -0.0198   -0.019  -0.0172  -0.0135 -0.00741        0
       13|        0 -0.00337 -0.00689 -0.00982  -0.0121  -0.0138  -0.0149  -0.0158  -0.0163  -0.0167   -0.017  -0.0172  -0.0173  -0.0173   -0.017  -0.0164  -0.0152  -0.0131  -0.0097 -0.00501        0
       12|        0 -0.00266 -0.00551   -0.008    -0.01  -0.0116  -0.0128  -0.0137  -0.0143  -0.0148   -0.015  -0.0152  -0.0152  -0.0149  -0.0145  -0.0136  -0.0122  -0.0102 -0.00729 -0.00364        0
       11|        0 -0.00216 -0.00451 -0.00662 -0.00842 -0.00989   -0.011  -0.0119  -0.0126   -0.013  -0.0133  -0.0133  -0.0132  -0.0129  -0.0123  -0.0114 -0.00999 -0.00811 -0.00567 -0.00278        0
       10|        0 -0.00179 -0.00375 -0.00556 -0.00713 -0.00846 -0.00953  -0.0104   -0.011  -0.0114  -0.0116  -0.0117  -0.0115  -0.0111  -0.0105 -0.00955 -0.00826 -0.00658 -0.00453 -0.00219        0
        9|        0  -0.0015 -0.00317 -0.00472  -0.0061 -0.00728 -0.00826 -0.00904 -0.00961 -0.00999  -0.0102  -0.0102    -0.01 -0.00962 -0.00898 -0.00809 -0.00691 -0.00544 -0.00371 -0.00178        0
